PI,AA,AB,AG,LA,LB,LC,NR,GY,IP,AL,AR,SU,BA,AC,AH,TRI,TRII,DG,KD,CC,CP,CA,PP,PA,AA,NC,NA,HB
4KBF,90,90,90,119.645,119.645,107.095,365,-0.197,9.43,45.48,4.93,1.37,15.62,17.53,8.77,51.78,48.22,-7.2,5.30E-06,5,3,15,0,11,45,37.53,43,631
4KIR,90,90,90,90.877,185.239,113.447,460,-0.167,5.33,40.43,9.13,2.61,12.39,19.57,12.17,43.91,56.09,-9,2.40E-07,25,8,19,0,2,18,33.58,37.48,873
4KJD,90,90,90,63.321,75.726,170.71,488,-0.337,6.2,37.7,8.2,3.48,12.09,20.29,12.91,40.16,59.84,-21.9,8.10E-17,22,24,78,8,36,59,30.41,33.67,795
4KM3,90,90,120,109.687,109.687,164.424,286,-0.269,4.65,39.16,7.69,6.64,12.24,21.33,9.09,49.3,50.7,-9.6,8.90E-08,11,4,41,1,6,29,32.24,43.83,430
4KM4,90,90,120,160.935,160.935,139.549,445,-0.336,5.28,42.25,4.94,2.7,11.01,20.9,13.71,36.18,63.82,-24.2,1.70E-18,25,48,65,34,77,115,30.58,38.43,958
4KN5,90,90,90,89.252,89.252,127.545,253,0.004,4.56,43.48,8.3,2.37,10.28,21.74,12.25,40.32,59.68,-12.6,5.40E-10,8,8,18,1,28,41,27.51,44.01,432
4KPO,90,90,90,76.44,85.78,87.39,330,0.022,6.1,39.39,7.88,3.33,12.73,17.27,13.03,38.79,61.21,-11.2,6.40E-09,2,8,24,5,25,33,28.54,43.43,509
4KQN,90,90,90,90.877,185.239,113.447,460,-0.148,5.33,41.09,9.13,2.61,12.39,19.35,11.96,43.7,56.3,-8.6,5.30E-07,20,8,20,0,2,18,33.77,37.85,862
4KTW,90,90,90,63.06,66.9,73.96,161,-0.389,8.3,36.65,10.56,3.73,16.15,20.5,11.18,41.61,58.39,-8.9,2.70E-07,0,0,9,3,16,35,34.85,32.78,299
4KV9,90,112.17,90,160.9,45.05,95.49,412,-0.698,8.55,30.1,7.04,3.88,19.17,26.7,10.44,51.94,48.06,-10.6,1.80E-08,5,16,18,5,18,16,36.46,30.66,484
4KYX,90,90,90,60.98,63.78,71.72,149,-0.371,6.44,34.23,9.4,3.36,18.12,24.83,6.04,50.34,49.66,-9.5,1.00E-07,6,3,19,2,11,44,31.5,35.5,221
4L9A,90,92.51,90,43.504,135.958,51.568,292,-0.234,7.58,34.25,10.62,4.79,13.01,20.55,13.7,46.23,53.77,-9.3,1.60E-07,3,5,2,7,21,16,25.26,37.89,485
4LFY,90,90,90,53.48,89.87,153.39,372,-0.163,6.83,39.25,8.06,4.03,15.05,14.52,11.83,40.05,59.95,-8.9,3.00E-07,14,9,21,2,12,51,30.24,46.22,684
4LJ3,90,98.68,90,56.693,70.3,66.636,279,-0.011,6.41,39.43,8.24,3.94,13.62,19,9.32,45.52,54.48,-14.1,4.50E-11,8,11,32,5,29,40,25.75,41.92,511
4LKQ,90,90,90,50.979,82.1,155.621,345,-0.21,6.44,32.46,9.86,6.96,13.04,20.29,13.33,49.57,50.43,-9.4,1.40E-07,12,8,9,3,12,32,26.49,37.99,686
4LS9,90,118.37,90,65.87,86.09,66.03,341,0.154,5.14,47.51,4.99,2.35,10.56,14.96,14.08,41.06,58.94,-16.1,1.50E-12,15,31,30,11,45,40,25.28,47.18,586
4LU1,90,90,90,50.651,52.834,129.275,215,-0.394,6.96,35.81,6.51,3.72,16.28,20,12.09,47.44,52.56,-12.5,6.80E-10,12,14,31,3,17,32,34.35,33.21,344
4M8K,90,91.53,90,49.244,72.319,62.9,236,-0.531,6.13,31.78,12.71,2.97,13.98,20.76,13.98,44.07,55.93,-9.5,1.00E-07,6,14,16,5,11,12,26.42,34.45,400
4M8X,90,90,120,61.756,61.756,83.352,99,0.303,7.26,46.46,6.06,5.05,9.09,17.17,10.1,52.53,47.47,-13.6,1.10E-10,5,5,11,11,48,74,21.33,52,163
4M8Y,90,90,120,61.905,61.905,83.178,100,0.265,5.77,46,6,5,9,18,10,53,47,-13.9,6.20E-11,5,6,12,11,48,74,22.82,49.66,155
4MAK,90,90,90,30.048,66.009,69.972,94,0.279,4.72,45.74,8.51,4.26,9.57,18.09,9.57,57.45,42.55,-5.7,6.80E-05,4,9,9,0,3,42,27.43,45.13,119
4MAQ,90,90,90,51.17,51.63,186.35,240,-0.183,6.28,42.92,7.92,2.08,14.17,15.83,9.58,38.33,61.67,-14,5.30E-11,22,13,52,5,20,61,28.12,47.6,396
4MEB,90,98.38,90,86.109,42.511,86.907,331,-0.305,8,36.56,12.08,2.72,14.2,17.52,11.18,38.97,61.03,-12.5,7.20E-10,3,6,22,2,28,89,31.27,40.69,650
4MEL,90,96.71,90,27.725,131.982,72.029,230,-0.703,5.33,33.48,9.13,1.3,16.09,25.22,10,52.61,47.39,-13.8,7.50E-11,8,11,32,1,23,36,29.92,37.4,315
4MEM,90,90,90,37.285,80.156,149.269,227,-0.658,4.59,31.72,9.25,2.64,13.22,26.87,11.01,53.3,46.7,-5.6,7.90E-05,0,4,2,0,2,1,29.12,37.36,355
4MG3,90,90,120,101.271,101.271,193.914,145,-0.195,7.08,38.62,10.34,4.83,12.41,17.24,13.79,46.9,53.1,-9.9,5.90E-08,0,2,4,4,15,13,19.34,34.43,267
4MHX,90,104.07,90,61.38,107.9,79.79,510,-0.351,7.19,33.53,10.78,3.14,13.92,18.04,12.75,44.71,55.29,-13.4,1.50E-10,13,10,37,6,21,53,25.21,40.67,949
4MIS,90,90,90,91.283,64.448,47.568,99,-0.11,4.39,40.4,8.08,3.03,9.09,19.19,17.17,43.43,56.57,-14.1,4.30E-11,5,2,27,8,33,67,27.16,38.27,156
4MKI,90,90,90,110.229,115.163,54.416,298,-0.29,8.69,39.6,5.7,2.35,18.12,20.47,8.72,50,50,-10.8,1.20E-08,14,6,25,5,20,35,39.02,38.08,505
4MLM,90,90,90,104.67,76.04,60.7,196,-0.715,6.31,32.65,8.16,5.1,18.88,23.47,10.2,47.96,52.04,-8.5,5.80E-07,15,6,18,0,2,3,35.4,33.33,405
4MPH,90,90,90,76.831,112.337,125.666,192,-0.715,8.63,32.29,11.46,1.04,16.67,22.4,12.5,42.19,57.81,-7,8.00E-06,3,8,5,7,11,1,33.33,33.71,324
4MPX,90,90,120,78.31,78.31,165.722,245,-0.253,6.94,37.14,9.39,4.9,13.47,17.14,8.57,49.39,50.61,-9.4,1.20E-07,4,2,18,6,16,40,23.65,42.22,395
4MRI,90,90,90,146.17,146.17,103.134,313,-0.325,6.5,33.87,8.95,5.11,15.65,21.09,9.27,46.33,53.67,-10.7,1.30E-08,8,7,18,3,18,45,33.91,35.14,543
4MVH,90,90,90,252.062,252.062,252.062,351,-0.313,6.58,31.05,9.69,6.84,15.1,20.8,12.54,49,51,-7.5,3.00E-06,0,13,8,9,15,5,26.52,38.48,633
4MWT,90,90,120,134.575,134.575,99.776,428,-0.387,6.5,32.24,13.08,4.44,10.98,22.43,11.21,45.09,54.91,-18.2,4.40E-14,5,8,46,4,33,43,23,33.92,780
4MXU,90,90,90,146.072,146.072,103.424,313,-0.312,6.27,33.87,9.27,5.11,15.34,21.41,8.95,46.65,53.35,-10.1,3.90E-08,8,7,15,3,17,44,33.99,35.7,554
4MZA,90,90,90,83.782,94.839,105.499,437,-0.268,8.19,32.72,8.47,4.58,12.13,18.08,17.62,44.16,55.84,-20.5,8.50E-16,9,22,17,11,60,76,25.81,31.23,783
4MZE,90,90,90,84.029,96.643,105.339,437,-0.271,8.3,32.72,8.47,4.58,12.13,18.08,17.62,44.39,55.61,-16.3,1.10E-12,1,9,12,6,43,58,25.63,31.95,785
4MZT,90,90,90,72.588,92.007,71.52,133,-0.581,10.03,36.84,3.01,2.26,21.8,21.05,11.28,44.36,55.64,-9.5,1.10E-07,7,20,24,14,24,23,41.67,34.52,222
4N06,90,98.03,90,70.886,41.929,125.293,347,-0.175,9.9,43.8,6.92,3.17,18.16,19.6,6.34,53.6,46.4,-14.1,4.20E-11,11,7,23,0,34,44,38.98,39.96,622
4N3P,90,90,90,73.119,73.119,163.975,436,0.077,5.43,45.41,3.44,3.67,12.61,18.81,12.39,45.64,54.36,-6.7,1.20E-05,6,11,10,4,12,5,29.21,46.52,633
4N59,90,94.96,90,44.649,116.745,60.79,279,-0.404,4.54,35.13,9.32,3.23,11.83,23.3,13.62,43.01,56.99,-10.4,2.20E-08,0,4,2,9,32,23,29.67,38.04,446
4N7J,90,90,90,116.004,116.004,79.532,282,-0.363,7.43,32.27,10.64,5.32,18.44,19.15,10.99,43.26,56.74,-11.9,1.90E-09,12,8,25,12,27,47,34.59,35.85,482
4N8S,90,90,120,140.461,140.461,80.289,269,-0.227,4.81,38.29,10.78,2.23,10.04,20.82,13.38,39.41,60.59,-8.3,8.40E-07,0,0,2,2,15,25,25.8,39.1,471
4N92,78.43,75.71,69.36,43.31,46.19,66.28,268,-0.518,5.12,36.57,5.97,2.24,14.93,23.51,12.31,41.79,58.21,-7,6.70E-06,12,3,17,0,1,3,41.62,33.24,543
4NBI,90,93.3,90,82.134,65.743,56.917,164,-0.516,8.19,34.15,9.76,2.44,17.07,28.66,6.1,45.73,54.27,-20.3,1.20E-15,10,18,24,13,62,41,41.36,25.45,283
4NNZ,90,90,90,79.88,106.51,112.66,439,-0.445,6.17,37.59,7.74,2.28,15.03,20.96,10.93,48.06,51.94,-8,1.30E-06,10,6,19,1,5,17,32.59,38.57,739
4NPR,90,90,90,62.368,62.368,226.037,243,-0.193,6.06,34.16,12.35,3.29,7,16.87,23.05,34.98,65.02,-11.3,5.30E-09,4,2,1,9,24,12,12.62,37.85,374
4NRR,90,104.25,90,50.807,171.931,55.155,449,-0.718,6.16,28.95,12.92,5.12,13.36,22.05,11.58,41.65,58.35,-9.6,8.90E-08,7,2,23,0,5,10,33.6,30.99,885
4NSV,90,98.01,90,39.605,135.582,45.553,275,-0.375,7.03,37.45,8.36,3.64,10.91,15.64,21.09,32.36,67.64,-8,1.40E-06,1,2,4,1,7,9,15.32,41.33,509
4NV4,90,90,120,80.225,80.225,174.25,176,-0.589,6.75,32.95,11.36,2.27,18.18,22.73,9.09,43.18,56.82,-5.7,7.00E-05,0,2,5,0,9,4,36.22,41.84,189
4NXS,90,90,120,90.783,90.783,217.382,398,-0.307,5,34.42,11.56,6.78,10.8,22.36,9.3,48.99,51.01,-13,3.10E-10,10,7,22,6,24,26,28.54,34.58,752
4NZ3,90,90,90,63.684,98.142,152.988,419,-0.485,5.36,32.7,11.22,2.63,10.74,22.67,13.84,41.29,58.71,-9.9,5.20E-08,4,23,19,18,24,14,24.41,36.61,823
4O0E,90,90,120,59.378,59.378,298.322,309,-0.124,6.31,45.63,3.88,4.85,13.27,18.12,10.68,40.13,59.87,-13.6,1.10E-10,19,13,43,9,24,58,34.32,39.64,586
4O0F,90,90,120,59.471,59.471,299.241,309,-0.132,6.31,45.63,3.88,4.85,13.27,18.12,10.68,39.81,60.19,-13.3,1.60E-10,18,14,43,10,24,57,33.63,39.88,579
4O0G,90,90,120,59.439,59.439,306.794,309,-0.124,6.31,45.63,3.88,4.85,13.27,18.12,10.68,40.13,59.87,-13.4,1.50E-10,18,14,44,11,24,59,32.27,40.12,559
4O23,90,90,90,55.324,111.389,132.535,384,-0.246,5.43,40.1,6.25,2.6,12.76,20.83,12.5,42.19,57.81,-14.9,1.20E-11,2,9,17,19,55,39,33.2,38.14,739
4O47,90,90,120,114.872,114.872,138.971,332,-0.155,6.87,45.48,3.61,5.12,14.16,16.87,12.35,40.36,59.64,-13.5,1.30E-10,16,12,43,12,27,48,33.43,39.76,610
4O6I,90,90,120,89.962,89.962,145.941,233,-0.504,6.65,32.62,6.87,5.58,16.74,22.32,9.01,43.35,56.65,-11.7,2.40E-09,1,2,8,5,33,21,33.77,37.09,298
4O8C,90,90,90,38.754,83.245,176.051,261,-0.215,5.85,37.93,9.2,3.45,13.03,20.31,12.64,43.68,56.32,-11.2,6.50E-09,6,0,18,1,20,61,33.14,36.98,463
4O98,90,90,120,116.742,116.742,83.395,337,-0.081,6.14,42.14,8.01,3.26,11.57,18.4,10.68,43.32,56.68,-17.6,1.20E-13,21,20,41,13,46,47,24.35,47.75,558
4OAK,80.53,74.52,64.01,41.939,43.083,66.316,211,-0.685,6.89,30.81,10.9,3.32,17.54,23.7,9,50.24,49.76,-12.5,7.20E-10,29,11,42,0,3,14,31.32,36.3,344
4OGZ,90,106.71,90,50.955,170.874,52.619,473,-0.293,5.16,39.53,9.09,4.44,12.9,20.51,8.88,47.57,52.43,-7.8,1.90E-06,15,7,13,0,5,1,31.89,40.71,841
4OK5,90,90,90,81.797,103.893,118.474,464,-0.019,6.78,38.36,7.97,4.96,11.21,13.79,17.03,40.73,59.27,-10.4,2.40E-08,10,4,19,4,19,36,20.44,48.67,773
4OKE,90,90,90,42.433,76.664,104.372,168,-0.5,5.32,34.52,10.12,2.38,15.48,19.64,10.12,52.98,47.02,-9.3,1.50E-07,10,14,26,6,14,31,35.18,39.13,52
4ON9,90,90,90,98.91,112.99,124.26,580,-0.345,7.4,33.45,8.28,4.66,15.17,23.28,11.55,47.59,52.41,-18.3,4.10E-14,24,44,29,8,44,27,32.53,36.29,933
4OO0,90,90,120,84.2,84.2,260.06,236,0,6.31,45.76,5.51,2.12,12.71,14.83,12.29,42.8,57.2,-7.6,2.80E-06,11,7,30,2,9,19,31.05,52.29,372
4OPM,90,95.58,90,100.398,66.902,110.38,306,-0.156,8.64,38.56,8.82,0.98,11.44,21.24,13.07,45.42,54.58,-12.2,1.20E-09,4,19,25,4,22,33,24.15,40.32,610
4OZO,90,90,90,125.3,122.17,159.65,469,-0.478,6.55,34.33,11.73,3.62,15.78,19.4,10.66,44.14,55.86,-5.7,6.40E-05,8,8,6,11,8,8,34.9,34.4,950
4P33,90,90,90,66.62,138.36,101.28,249,-0.245,6.62,42.57,4.82,2.01,18.07,20.48,8.84,50.2,49.8,-7.6,2.50E-06,13,6,18,1,3,9,34.02,38.12,465
4P5E,90,104.77,90,48.974,52.284,54.454,152,-0.36,6.08,42.11,8.55,2.63,17.11,20.39,6.58,54.61,45.39,-5.6,8.20E-05,8,4,12,0,4,2,36.15,44.13,302
4P6E,90,90,90,85.692,85.692,151.496,230,-0.569,7.74,33.04,11.74,5.22,15.22,19.57,11.3,42.17,57.83,-11.1,7.60E-09,3,14,10,2,20,14,29.04,33.66,407
4P93,90,94.3,90,100.23,49.05,89.61,236,-0.112,6.4,44.07,10.59,2.12,11.02,17.8,8.47,44.07,55.93,-6.2,3.00E-05,7,4,6,2,4,5,22.71,45.11,419
4PBF,90,90,120,123.696,123.696,112.132,333,0.051,7.2,42.94,6.61,3.6,12.61,15.92,14.41,46.55,53.45,-11.9,1.70E-09,13,10,32,8,24,31,29.36,44.15,727
4PCN,90,90,90,85.9,86.266,88.684,333,0.123,7.71,44.14,7.21,2.7,12.31,14.71,14.71,46.25,53.75,-12,1.60E-09,11,11,34,8,25,32,28.05,46.1,811
4PIC,90,92.37,90,44.434,75.753,47.717,156,-0.407,6.74,36.54,5.77,4.49,19.23,19.23,10.9,42.95,57.05,-5.5,8.90E-05,3,3,7,0,2,10,33.73,38.55,286
4PL3,90,91.88,90,246.08,90.5,72.13,435,-0.43,6.63,32.18,9.66,4.83,17.01,21.15,9.43,49.66,50.34,-6.3,2.60E-05,0,0,7,1,5,11,32.76,36.38,532
4PMV,90,90,90,78.819,78.819,303.969,357,-0.286,7.23,40.06,10.64,2.52,13.17,21.29,7.56,45.1,54.9,-9,2.30E-07,10,6,22,2,10,21,30.46,41.28,664
4PR3,90,90,120,97.326,97.326,175.111,233,0.087,6.17,46.35,5.58,4.29,13.3,15.45,10.73,43.78,56.22,-8.5,5.60E-07,4,6,23,0,15,55,26.76,52.51,300
4PV4,90,90,90,124.299,82.865,110.091,445,-0.226,5.05,40.45,8.99,3.15,13.03,21.57,8.31,50.11,49.89,-13.6,9.80E-11,17,27,47,6,21,38,31.66,41.88,941
4PVP,90,90,120,59.459,59.459,298.9,310,-0.141,6.31,45.48,3.87,4.84,13.23,18.06,10.97,39.68,60.32,-13.3,1.80E-10,17,14,45,10,23,56,33.92,39.23,602
4PXD,90,90,90,106.829,171.864,43.244,413,-0.225,5.29,37.29,8.23,5.33,11.62,21.31,11.14,46.49,53.51,-17.7,9.90E-14,11,38,53,29,56,72,30.32,39.56,838
4PXE,90,90,90,69.983,89.758,163.932,430,-0.052,5.49,42.33,6.05,2.79,13.02,18.14,13.26,42.33,57.67,-17.9,7.60E-14,8,22,56,4,38,89,34.15,40.34,882
4PZ9,90,90,90,46.309,77.091,126.484,223,-0.226,6.52,45.74,5.38,1.79,13.45,17.94,11.21,48.43,51.57,-8.5,5.60E-07,6,4,18,1,12,27,31.7,42.48,416
4PZY,90,90,90,44.101,55.964,120.761,170,-0.44,5.09,34.12,8.24,4.12,15.29,23.53,12.35,49.41,50.59,-7.5,2.90E-06,14,5,14,1,0,6,39.83,29.05,328
4Q05,90,90,120,138.796,138.796,49.247,360,-0.129,6.12,41.67,6.67,1.67,12.22,18.06,13.89,42.5,57.5,-17.6,1.20E-13,16,23,56,16,43,58,26.39,45.04,638
4Q14,90,90,120,83.19,83.19,153.11,139,-0.313,6.27,38.85,7.91,3.6,15.11,15.83,12.95,43.17,56.83,-8.6,5.30E-07,3,4,33,5,8,35,29.17,41.67,210
4Q9A,90,90,90,128.829,128.829,149.65,229,-0.421,7.4,33.62,10.92,4.37,13.97,21.83,10.92,45.41,54.59,-9.3,1.60E-07,0,5,12,5,20,32,35.21,35.21,418
4QA0,90,99.29,90,53.523,84.751,95.003,389,-0.196,6.09,37.79,10.03,4.88,13.37,18.51,10.54,45.5,54.5,-8.6,5.10E-07,4,4,11,0,10,27,28.94,38.09,668
4QA2,90,98.6,90,53.017,84.057,94.381,389,-0.217,6.09,37.53,9.77,5.14,13.37,18.77,10.54,45.5,54.5,-8.4,7.20E-07,4,4,12,0,9,31,28.17,39.08,645
4QA3,90,95.94,90,51.186,83.094,94.297,389,-0.19,6.09,37.79,9.77,5.4,13.37,18.51,10.28,46.02,53.98,-7.9,1.50E-06,4,1,9,0,9,25,28.03,39.96,619
4QAG,90,90,120,51.164,51.164,112.1,133,-0.339,5.93,42.86,6.77,0,12.03,25.56,9.77,51.13,48.87,-8.1,1.10E-06,4,6,11,5,12,18,28.71,37.8,232
4QAS,90,90,90,65.442,104.153,58.148,201,0.035,6.26,36.32,10.95,2.99,9.95,16.92,15.92,43.78,56.22,-9.7,7.60E-08,3,3,13,6,22,7,23.51,44.91,283
4QBN,90,90,90,86.221,99.329,109.868,93,-0.674,10.32,36.56,10.75,0,23.66,19.35,5.38,50.54,49.46,-5.1,1.80E-04,8,0,12,0,0,0,40.13,38.82,150
4QF4,90,90,90,67.53,67.53,62.817,149,-0.877,10.07,32.21,7.38,3.36,21.48,21.48,10.07,40.27,59.73,-5.2,1.60E-04,4,7,3,2,3,2,38.12,34.65,245
4QFJ,90,90,90,39.415,42.42,154.312,126,-0.656,9.58,28.57,8.73,7.14,19.05,15.08,14.29,39.68,60.32,-6.3,2.60E-05,3,4,9,0,0,3,27.66,37.77,202
4QGP,90,90,90,49.168,102.136,103.285,118,-0.62,5.83,31.36,8.47,3.39,22.03,25.42,6.78,56.78,43.22,-14.1,4.20E-11,37,15,39,2,12,91,45.4,28.16,238
4QHJ,90,90,90,49.39,49.84,104.84,110,-0.303,10.24,35.45,9.09,0.91,20.91,24.55,6.36,48.18,51.82,-9,2.50E-07,9,8,14,1,9,28,35.29,32.94,194
4QMB,90,90,120,75.75,75.75,122.962,287,-0.472,6.05,31.36,11.15,4.53,14.63,22.3,10.1,40.77,59.23,-7.6,2.80E-06,5,4,15,2,7,32,31.62,38.41,436
4QN9,90,90,120,95.099,95.099,444.17,393,-0.588,5.95,28.5,12.21,4.07,15.01,22.14,11.45,45.04,54.96,-7.1,6.60E-06,7,12,9,7,10,8,35.31,34.6,555
4QR2,90,90,90,55.26,55.26,117.821,97,-0.385,8.71,34.02,8.25,4.12,17.53,20.62,12.37,53.61,46.39,-11.4,4.60E-09,9,12,36,9,18,29,35.38,34.62,170
4QR8,90,90,90,72.569,97.44,126.936,443,-0.241,5.89,37.7,10.38,3.39,13.32,21.22,8.35,46.5,53.5,-14.4,2.50E-11,19,22,37,2,24,61,29.1,42.98,829
4QTG,90,90,90,60.468,85.486,141.623,373,-0.353,5.57,35.66,9.92,5.63,13.94,20.64,9.92,48.53,51.47,-16.8,5.10E-13,15,13,62,5,27,131,38.74,35.35,803
4R0K,90,93.69,90,65.03,50.57,107.87,308,-0.487,6.8,32.47,11.69,3.9,15.26,19.16,13.31,45.13,54.87,-15.9,2.10E-12,5,2,34,4,32,32,30.61,32.88,598
4R27,90,101.99,90,48.498,146.94,53.041,434,-0.261,5.39,40.55,10.14,2.3,12.67,19.35,8.99,43.78,56.22,-8.7,4.00E-07,19,4,20,2,10,6,31.73,45.58,886
4R8Z,90,90,90,93.984,93.984,78.469,218,-0.244,6.98,46.33,5.96,0,16.51,19.27,6.88,48.17,51.83,-7.6,2.70E-06,11,3,14,6,17,60,32.63,48.04,439
4R9Z,90,90,90,57.23,70.11,137.93,278,-0.228,6.64,37.41,8.63,3.24,11.87,16.19,15.11,44.6,55.4,-15.7,3.10E-12,15,29,39,9,40,52,27.94,48.25,444
4RCT,90,90,90,75.513,106.799,108.235,365,-0.58,7.79,30.41,10.14,3.29,17.81,22.47,13.15,43.56,56.44,-17.2,2.50E-13,13,24,27,3,34,45,34.37,27.12,629
4RDY,90,90,120,174.74,174.74,61.55,316,-0.01,6.32,41.46,8.54,2.53,14.56,18.35,11.08,47.78,52.22,-14.1,4.30E-11,10,6,29,2,31,55,35.95,39.24,662
4RFP,90,90,90,72.177,85.712,38.888,121,-0.607,4.57,24.79,11.57,14.05,12.4,25.62,7.44,46.28,53.72,-10.8,1.30E-08,9,7,20,0,10,11,30,33,215
4RGH,90,90,90,66.87,86.4,52.12,169,-0.275,6.79,35.5,4.14,8.88,17.16,21.3,9.47,50.3,49.7,-10.8,1.10E-08,1,15,26,4,23,28,27.37,45.25,218
4RL0,90,90,90,39.18,78.89,133.06,242,-0.093,6.22,43.39,7.02,3.72,10.74,18.6,11.57,36.78,63.22,-8.2,1.00E-06,8,3,9,5,16,13,22.47,48.1,465
4RL2,90,90,90,38.62,77.57,132.31,246,-0.102,6.34,43.09,6.91,4.07,10.98,18.29,11.79,36.59,63.41,-9.5,1.10E-07,12,7,12,6,20,13,22.91,47.99,464
4RL4,90,90,90,69.283,69.283,179.763,212,-0.537,8.22,34.91,8.49,5.19,17.92,22.64,8.96,48.11,51.89,-14.6,2.00E-11,11,10,37,16,37,63,35.2,34.8,323
4RN2,90,100.47,90,53.764,84.712,94.139,389,-0.204,5.99,37.79,9.77,5.14,13.37,18.77,10.28,45.76,54.24,-7.7,2.10E-06,2,4,10,0,8,23,27.49,39.69,633
4RNI,90,90,90,35.754,94.466,154.703,286,-0.071,5.88,43.01,6.64,4.2,13.64,19.58,8.39,52.1,47.9,-8,1.30E-06,5,9,4,11,27,32,29.62,46.47,467
4RNY,90,90,90,62.618,112.146,112.939,371,-0.418,10.25,34.77,11.32,1.62,19.41,16.98,12.13,44.74,55.26,-12.7,5.10E-10,9,4,38,0,13,13,28.42,37.23,623
4ROU,90,90,90,66.434,78.287,114.187,310,-0.528,8.47,29.03,10.32,4.84,17.1,22.26,12.26,48.06,51.94,-8.5,5.70E-07,2,4,16,0,4,24,32.54,30.16,403
4RPA,90,90,120,99.406,99.406,425.285,317,-0.162,4.72,38.17,6.62,3.79,13.56,23.34,11.99,43.85,56.15,-10.1,3.70E-08,3,12,36,2,12,29,35.75,37.92,575
4RUH,90,90,90,87.09,100.07,105.83,475,-0.276,5.81,38.53,9.05,3.79,14.32,19.58,10.11,46.53,53.47,-29.1,4.90E-22,32,52,100,13,66,102,35.43,39.86,806
4RZB,90,107.18,90,101.56,141.831,86.415,453,-0.116,5.86,46.36,7.28,3.09,12.8,19.21,7.28,49.45,50.55,-24.1,2.00E-18,26,30,80,2,48,71,30.5,45.84,985
4S1C,90,90,120,116.562,116.562,91.783,222,-0.365,6.86,35.14,6.76,3.6,15.77,21.62,10.81,45.05,54.95,-5.2,1.50E-04,0,5,10,8,8,9,30,41.88,440
4S2L,90,116.78,90,44.87,125.75,49.71,237,-0.481,7.94,33.76,11.39,2.95,14.77,24.47,10.55,46.41,53.59,-10.4,2.50E-08,20,18,16,2,6,10,33.23,29.15,507
4S2O,90,90,90,48.6,96.5,125.7,246,-0.269,7.41,36.59,10.16,2.44,12.6,21.54,13.41,46.34,53.66,-13.2,2.00E-10,24,11,32,2,12,11,32.54,32.25,501
4S2P,90,90,90,43.41,102.87,124.73,265,-0.299,9.23,36.23,10.57,3.4,14.34,22.26,10.57,47.55,52.45,-10.4,2.20E-08,19,19,16,2,7,10,33.96,28.97,504
4TKK,90,90,90,141.172,141.172,141.172,143,-0.289,10.71,42.66,5.59,1.4,20.98,18.18,7.69,48.25,51.75,-7.4,3.50E-06,6,6,21,2,12,39,45.5,38.62,234
4TNU,90,90,90,147.959,147.959,103.456,313,-0.301,6.5,33.87,8.95,5.43,15.65,21.09,8.95,46.33,53.67,-10.3,2.60E-08,8,6,14,3,18,43,33.25,35.66,555
4TR2,90,90,90,95,95,287.76,663,-0.447,6.6,35.29,6.18,2.71,15.23,23.08,13.57,41.63,58.37,-14.1,4.90E-11,17,27,24,18,36,7,31.56,33.06,905
4TX4,90,90,90,41.83,64.64,87.113,83,-0.528,6.53,37.35,9.64,0,15.66,26.51,8.43,46.99,53.01,-15.2,7.40E-12,10,3,45,15,36,72,32.39,37.32,130
4U6D,90,90,90,57.109,226.132,67.124,414,-0.703,6.73,28.5,14.25,2.9,13.29,21.74,11.11,39.61,60.39,-29.7,1.70E-22,16,38,97,14,71,127,31.01,35.19,652
4UEE,90,90,90,46.298,83.983,157.096,309,-0.239,6.35,34.63,13.27,1.62,11.65,17.48,17.48,40.45,59.55,-12,1.60E-09,1,4,10,0,22,7,23.86,36.04,629
4UPD,90,90,90,164.86,164.86,94.14,545,0.068,4.46,41.1,12.66,1.83,6.79,18.72,13.39,42.57,57.43,-5.9,4.80E-05,1,1,0,0,5,39,19.35,46.09,954
4URS,95.48,100.23,107.78,37.15,37.14,62.28,188,-0.467,9.12,34.04,10.11,3.72,20.74,17.55,10.11,48.4,51.6,-9.3,1.50E-07,18,6,29,0,4,22,47.47,29.95,288
4UX7,90,90,90,38.247,90.273,134.738,242,-0.892,8.54,23.97,12.81,3.31,18.6,25.62,14.46,34.71,65.29,-15.9,2.30E-12,23,16,26,4,25,24,38.83,23.37,402
4UZK,90,90,90,59.252,93.103,142.124,373,-0.496,8.07,31.9,9.65,5.36,16.35,17.16,13.67,46.65,53.35,-9.4,1.30E-07,9,4,18,0,5,4,29.78,33.33,704
4V2I,90,90,90,73.326,85.429,91.747,323,-0.214,5.31,41.18,7.74,1.55,11.46,19.2,12.69,40.87,59.13,-10.7,1.40E-08,13,14,10,8,27,9,27.64,43.97,573
4W7S,90,90,120,114.719,114.719,156.186,463,-0.284,7.65,35.85,6.91,3.24,14.25,22.46,12.53,49.03,50.97,-11.1,7.60E-09,6,10,24,4,17,15,32.99,34.03,800
4WBH,90,90,90,72.702,175.433,60.764,471,-0.387,6.88,33.33,9.34,5.73,13.38,19.75,12.95,48.41,51.59,-8.2,1.00E-06,9,9,13,0,1,4,30.6,31.71,609
4WHJ,90,95.73,90,53.185,80.782,183.666,646,-0.367,7.33,34.98,6.35,4.02,15.33,24.46,10.99,52.94,47.06,-7.5,3.10E-06,6,8,10,4,9,31,32.12,36.55,992
